Name,appearances,ID
Greg Bronson,4,3425823
Faye Dunaway,3,0001159
Gene Hackman,3,0000432
Mia Farrow,3,0001201
Raymond Serra,2,0785435
Tony Chiu-Wai Leung,2,0504897
Winona Ryder,2,0000213
Melonie Diaz,2,0246686
Warren Beatty,2,0000886
Aaron Stielstra,2,0993783
Thomas Jane,2,0005048
Kai Lennox,2,0502097
Stephen Fry,2,0000410
Marco Rodríguez,2,0735424
Helen Mirren,2,0000545
John Cazale,2,0001030
Denise Richards,2,0000612
Mark Kubr,2,0473578
Richard Gere,2,0000152
Donald Trump,2,0874339
Marshall Bell,2,0068382
Richard Nixon,2,0633271
Lillian Gish,2,0001273
Kelly Macdonald,2,0531808
Steve Coogan,2,0176869
Jeremy Northam,2,0000562
Catherine Keener,2,0001416
Rahul Gupta,2,8345136
Rahul Gupta,2,1093914
Julia Stiles,2,0005466
Bob Balaban,2,0000837
Bruce Altman,2,0022883
Alfred Molina,2,0000547
Lois Smith,2,0809135
Russell Crowe,2,0000128
Paul St. Peter,2,0170555
Marcia Jean Kurtz,2,0476040
Mark Margolis,2,0546797
George Wallace,2,0908647
Jon Glaser,2,0321835
Lance Henriksen,2,0000448
J.K. Simmons,2,0799777
Marc Alan Austen,2,1819733
Fabrizia Dal Farra,2,0268076
Renato Scarpa,2,0769237
Philip Baker Hall,2,0001311
Philip Seymour Hoffman,2,0000450
Jessica Harper,2,0363888
