Month,Pick,IMDb ID,Movie,Year,IMDb Score,Metacritic Score,Steven,Jon,Farzad,Average,Notes
3/2019,Farzad,947798,Black Swan,2010,8.0,79,8,9,8,8.3,Inagural movie!
4/2019,Jon,156887,Perfect Blue,1997,8.0,NA,9,9,7,8.3,"Black Swan, but make it anime. "
5/2019,Steven,311113,Master and Commander: The Far Side of the World,2003,7.4,81,9.5,8,8,8.5,https://www.youtube.com/watch?v=mq1YthGFjRI
6/2019,Farzad,2492296,Show Me A Hero,2015,8.1,85,7,8,8,7.7,"A 6 hour HBO miniseries...or was it 15 hours? It felt like 15 hours. And yet still rated a 7 by certain so-called ""critics"""
7/2019,Jon,147800,10 Things I Hate About You,1999,7.3,70,7,7,5,6.3,Joey: American Viroth Tep
8/2019,Steven,7242142,Blindspotting,2018,7.4,77,7,7,8,7.3,Farzad ruined Steven's elaborate joke review in Goldeneye: Source
9/2019,Jon,181689,Minority Report,2002,7.6,80,8,8,7,7.7,Screened in DC!
10/2019,Farzad,134119,The Talented Mr. Ripley,1999,7.4,76,8,7,9,8.0,He would've gotten away with it if it wasn't for Freddie
12/2019,Steven,5503686,Hustlers,2019,6.3,79,7,8,8,7.7,https://www.youtube.com/watch?v=mJm2X-7feUY
1/2020,Jon,1131734,Jennifer's Body,2009,5.2,47,7,7,6,6.7,Farzad nearly vomitted with rage but we managed to get through the discussion and our collective friendship is better for it. 
2/2020,Farzad,423409,Tristram Shandy: A Cock and Bull Story,2006,6.7,80,6,4,8,6.0,Another pick by the Radical Left. 
3/2020,Steven,118749,Boogie Nights,1997,7.9,85,9,9,9,9.0,Alternate movie title: Mark Walhberg's Magic Weiner (MWMW for short)
3/2020,Jon,851578,Paprika,2006,7.7,81,6,8,5,6.3,"What is this, Disneyland????"
3/2020,Farzad,61418,Bonnie and Clyde,1967,7.8,86,10,8,10,9.3,"To few it'll be grief, to the law a relief, but it's death for Bonnie and Clyde"
4/2020,Steven,118694,In the Mood for Love,2000,8.1,85,9.5,10,9,9.5,
4/2020,Jon,53198,The 400 Blows,1959,8.1,NA,9,9,7,8.3,
4/2020,Farzad,82031,Arthur,1981,6.9,69,6,6,8,6.7,Some of us drink because we're not poets
4/2020,Steven,2704998,Game Night,2018,6.9,66,8,7,9,8.0,Did you suck it???
5/2020,Jon,1104733,Hamlet 2,2008,6.3,54,6.5,8,7.5,7.3,Who's Haywood?!
5/2020,Farzad,799934,Be Kind Rewind,2008,6.4,52,6,6.5,10,7.5,
5/2020,Steven,2872718,Beautiful Day in the Neighborhood,2019,7.3,80,7.5,6.5,3,5.7,Mr. Rogers cemetery
5/2020,Jon,1392190,Mad Max: Fury Road,2015,8.1,90,9,9.5,9.5,9.3,WITNESS ME
5/2020,Farzad,6864,Intolerance,1916,7.8,99,N/A,6.5,6,6.3,Spicy costumes to disprove racism
6/2020,Steven,9777644,Da 5 Bloods,2020,6.7,82,8,8.5,8.5,8.3,"I see ghosts, blood."
6/2020,Jon,280707,Gosford Park,2001,7.2,90,8,9,9,8.7,I don't want her in the fucking movie
7/2020,Farzad,303353,The Kid Stays in the Picture,2002,7.3,75,6.0,6.5,7.5,6.7,a big dick move by one of the biggest pythons in the pants of hollywood
7/2020,Farzad,5821516,Documentary Now!,2015,8.0,NA,9,9,10,9.3,pollack beach
7/2020,Steven,9484998,Palm Springs,2020,7.6,84,9,8.5,8,8.5,we all have an Irvine
7/2020,Jon,120201,Starship Troopers,1997,7.2,51,8.5,9,9.5,9.0,the enemy cannot push a button if you disable his hand
7/2020,Farzad,1764183,Arbitrage,2012,6.6,73,7.5,7,7,7.2,Looks like we made a good deal
7/2020,Steven,109424,Chunking Express,1994,8.1,77,7.5,8.5,6.5,7.5,
8/2020,Jon,48424,The Night of the Hunter,1955,8.0,99,8,9,5.5,7.5,Chiiiiiiildren
8/2020,Farzad,32455,Fantasia,1940,7.8,96,7.5,9.5,10,9.0,
8/2020,Steven,70034,Enter the Dragon,1973,7.7,83,7.5,8,6,7.2,"""Opium?... Uh-oh."""
8/2020,Jon,51808,The Hidden Fortress,1958,8.1,NA,8,6.5,5.5,6.7,those fucking peasants
9/2020,Farzad,7286966,Money Plane,2020,3.0,TBD,8,6,8,7.3,"""a bad movie thrown together quickly""--craig
""Say hello to my little friend!"" - Kelsey Grammar"
