Name,appearances,ID
Al Pacino,5,0000199
Gene Hackman,4,0000432
Catherine Keener,4,0001416
Greg Bronson,4,3425823
Faye Dunaway,3,0001159
Philip Seymour Hoffman,3,0000450
Warren Beatty,3,0000886
Mia Farrow,3,0001201
Marshall Bell,3,0068382
Steven Ford,3,0285885
Charles Durning,3,0001164
Richard Nixon,3,0633271
Robert Costanzo,2,0182456
Sachio Sakai,2,0757021
Paul E. Guskin,2,0348885
Ron Gilbert,2,0003003
Takeo Oikawa,2,0645238
Haruo Nakajima,2,0620032
Keith Hudson,2,0399888
Yvonne Zima,2,0956531
James Bulleit,2,0119874
Toranosuke Ogawa,2,0644574
Mark Falvo,2,5241466
John Cazale,2,0001030
Sully Boyar,2,0101604
Natalie Portman,2,0000204
Denise Richards,2,0000612
Timothy McNeil,2,0573934
Denise Dowse,2,0236225
Blake Lindsley,2,0512420
Jake Busey,2,0000998
Takeshi Katô,2,0441399
Mark Kubr,2,0473578
Michelle Johnston,2,0426785
Peter Gallagher,2,0001251
Kathleen Turner,2,0000678
Jon Davison,2,0205727
Jimmy Star,2,3046500
Kokuten Kôdô,2,0462679
Yû Fujiki,2,0297741
Takashi Shimura,2,0793766
Ben Lautman,2,4036401
Corey Burton,2,0123553
John Hamilton,2,0357963
John Dennis,2,0112392
Teri Garr,2,0000414
Arthur Malet,2,0539395
Hidetoshi Nishijima,2,0632689
Walker Edmiston,2,0249456
James Tolkan,2,0866055
Tom Signorelli,2,0797529
Jack Kehoe,2,0444955
John Hurt,2,0000457
Mandy Patinkin,2,0001597
Neil Summers,2,0838612
Claire Miller,2,3941248
Claire Miller,2,5631259
Stellan Skarsgård,2,0001745
Mansai Nomura,2,1334850
Martin Short,2,0001737
Saki Suzuki,2,1363139
Balázs Megyeri,2,1034872
Ellen Dubin,2,0239294
Tracey Walter,2,0910145
Imogen Poots,2,1782299
J.A. Preston,2,0696430
William B. Kaplan,2,0438202
Bill Clinton,2,0001051
Tucker Smallwood,2,0806613
Matthew McConaughey,2,0000190
Charlotte Rampling,2,0001648
Kenneth McMillan,2,0573299
Stanley Tucci,2,0001804
Yash Agnihotri,2,1067015
Chevy Chase,2,0000331
Wallace Shawn,2,0001728
Gina Jun,2,1122492
Alison Brie,2,1555340
David Gould,2,0332349
David Gould,2,1470171
Udo Kier,2,0001424
Robert Redford,2,0000602
Allen Garfield,2,0307255
Rudy Valentino Grant,2,4112921
Joshua Neil,2,6920613
Alexander Skarsgård,2,0002907
William Fichtner,2,0001209
Val Kilmer,2,0000174
Arthur Tovey,2,0869863
Ethelreda Leopold,2,0503154
Charles Drake,2,0236866
Nancy Allen,2,0000262
Kristen Wiig,2,1325419
Rachel Sophia-Anthony,2,9272038
Ryan Phillippe,2,0000202
Rick Kain,2,1693977
Jack O'Connell,2,0640081
Rhys Coiro,2,1711052
Jon Glaser,2,0321835
Mette Narrative,2,9724879
Jennifer Lopez,2,0000182
Fabrizia Dal Farra,2,0268076
Renato Scarpa,2,0769237
Philip Baker Hall,2,0001311
Diane Robin,2,0732187
Marc Alan Austen,2,1819733
Doris McCarthy,2,0565117
Jeremy Maxwell,2,0561728
Steve Coogan,2,0176869
Lance Henriksen,2,0000448
Paige Pollack,2,0689404
Jeffrey Todd Fischer,2,0278978
Vicki Davis,2,0205615
J.K. Simmons,2,0799777
David Wenzel,2,0921173
Paul Newman,2,0000056
Jessica Harper,2,0363888
Alfred Molina,2,0000547
Oscar Isaac,2,1209966
Russell Crowe,2,0000128
Paul St. Peter,2,0170555
Michael Stein,2,0825574
Marty Krzywonos,2,3801095
Marcia Jean Kurtz,2,0476040
Mark Margolis,2,0546797
Winona Ryder,2,0000213
Bruce Altman,2,0022883
Rahul Gupta,2,8345136
George D. Wallace,2,0908647
Lois Smith,2,0809135
Anna Maria Horsford,2,0395428
Rahul Gupta,2,1093914
Bob Balaban,2,0000837
Allison Janney,2,0005049
Joseph Gordon-Levitt,2,0330687
Julia Stiles,2,0005466
Jeremy Northam,2,0000562
Benedict Wong,2,0938950
Richard Carter,2,0141885
Nicholas Hoult,2,0396558
Sandra Rosko,2,2769940
Liz Imperio,2,0408277
Bill Blair,2,2909963
Jack Black,2,0085312
Tomas Sanchez,2,2661429
Marco Rodríguez,2,0735424
Melonie Diaz,2,0246686
Richard Carter,2,7360974
Hélène Cardona,2,0136563
Helen Mirren,2,0000545
Dustin Hoffman,2,0000163
Richard Gere,2,0000152
James Caan,2,0001001
Neil Armstrong,2,0035842
Donald Trump,2,0874339
Martin Luther King,2,0455052
William G. Tomek,2,9511371
Raymond Serra,2,0785435
Don Cheadle,2,0000332
Kai Lennox,2,0502097
William H. Macy,2,0000513
Heather Graham,2,0001287
Julianne Moore,2,0000194
Thomas Jane,2,0005048
Luis Guzmán,2,0350079
Stephen Fry,2,0000410
Kelly Macdonald,2,0531808
Allan Graf,2,0333689
Gene Wilder,2,0000698
Christian Brocard,2,0110466
Tony Chiu-Wai Leung,2,0504897
Patrick Cranshaw,2,0186498
Estelle Parsons,2,0663820
Michael J. Pollard,2,0689488
Aaron Stielstra,2,0993783
Arnold Montey,2,7419291
Saki Suzuki,2,3330501
