Month,Pick,IMDb ID,Movie,Year,IMDb Score,Sebastian,Jon,Dazraf,Average,Notes,title,year,rating,plot_outline,plot,synopsis
3/2019,Farzad,947798,Black Swan,2010,8.0,8.0,9.0,8.0,8.3,Inagural movie!,Black Swan,2010,8.0,,,
4/2019,Jon,156887,Perfect Blue,1997,8.0,9.0,9.0,7.0,8.3,"Black Swan, but make it anime. ",Perfect Blue,1997,8.0,,,
5/2019,Steven,311113,Master and Commander: The Far Side of the World,2003,7.4,9.5,8.0,8.0,8.5,https://www.youtube.com/watch?v=mq1YthGFjRI,Master and Commander: The Far Side of the World,2003,7.4,,,
6/2019,Farzad,2492296,Show Me A Hero,2015,8.1,7.0,8.0,8.0,7.7,"A 6 hour HBO miniseries...or was it 15 hours? It felt like 15 hours. And yet still rated a 7 by certain so-called ""critics""",Show Me a Hero,2015,8.0,,,
7/2019,Jon,147800,10 Things I Hate About You,1999,7.3,7.0,7.0,5.0,6.3,Joey: American Viroth Tep,10 Things I Hate About You,1999,7.3,,,
8/2019,Steven,7242142,Blindspotting,2018,7.4,7.0,7.0,8.0,7.3,Farzad ruined Steven's elaborate joke review in Goldeneye: Source,Blindspotting,2018,7.4,,,
9/2019,Jon,181689,Minority Report,2002,7.6,8.0,8.0,7.0,7.7,Screened in DC!,Minority Report,2002,7.7,,,
10/2019,Farzad,134119,The Talented Mr. Ripley,1999,7.4,8.0,7.0,9.0,8.0,He would've gotten away with it if it wasn't for Freddie,The Talented Mr. Ripley,1999,7.4,,,
12/2019,Steven,5503686,Hustlers,2019,6.3,7.0,8.0,8.0,7.7,https://www.youtube.com/watch?v=mJm2X-7feUY,Hustlers,2019,6.3,,,
1/2020,Jon,1131734,Jennifer's Body,2009,5.2,7.0,7.0,6.0,6.7,Farzad nearly vomitted with rage but we managed to get through the discussion and our collective friendship is better for it. ,Jennifer's Body,2009,5.4,,,
2/2020,Farzad,423409,Tristram Shandy: A Cock and Bull Story,2006,6.7,6.0,4.0,8.0,6.0,Another pick by the Radical Left. ,Tristram Shandy,2005,6.7,,,
3/2020,Steven,118749,Boogie Nights,1997,7.9,9.0,9.0,9.0,9.0,Alternate movie title: Mark Walhberg's Magic Weiner (MWMW for short),Boogie Nights,1997,7.9,,,
3/2020,Jon,851578,Paprika,2006,7.7,6.0,8.0,5.0,6.3,"What is this, Disneyland????",Paprika,2006,7.7,,,
3/2020,Farzad,61418,Bonnie and Clyde,1967,7.8,10.0,8.0,10.0,9.3,"To few it'll be grief, to the law a relief, but it's death for Bonnie and Clyde",Bonnie and Clyde,1967,7.7,,,
4/2020,Steven,118694,In the Mood for Love,2000,8.1,9.5,10.0,9.0,9.5,,In the Mood for Love,2000,8.1,,,
4/2020,Jon,53198,The 400 Blows,1959,8.1,9.0,9.0,7.0,8.3,,The 400 Blows,1959,8.1,,,
4/2020,Farzad,82031,Arthur,1981,6.9,6.0,6.0,8.0,6.7,Some of us drink because we're not poets,Arthur,1981,6.9,,,
4/2020,Steven,2704998,Game Night,2018,6.9,8.0,7.0,9.0,8.0,Did you suck it???,Game Night,2018,6.9,,,
5/2020,Jon,1104733,Hamlet 2,2008,6.3,6.5,8.0,7.5,7.3,Who's Haywood?!,Hamlet 2,2008,6.3,,,
5/2020,Farzad,799934,Be Kind Rewind,2008,6.4,6.0,6.5,10.0,7.5,,Be Kind Rewind,2008,6.4,,,
5/2020,Steven,2872718,Beautiful Day in the Neighborhood,2019,7.3,7.5,6.5,3.0,5.7,Mr. Rogers cemetery,Nightcrawler,2014,7.8,,,
5/2020,Jon,1392190,Mad Max: Fury Road,2015,8.1,9.0,9.5,9.5,9.3,WITNESS ME,Mad Max: Fury Road,2015,8.1,,,
6/2020,Steven,9777644,Da 5 Bloods,2020,6.7,8.0,8.5,8.5,8.3,"I see ghosts, blood.",Da 5 Bloods,2020,6.5,,,
6/2020,Jon,280707,Gosford Park,2001,7.2,8.0,9.0,9.0,8.7,I don't want her in the fucking movie,Gosford Park,2001,7.2,,,
7/2020,Farzad,303353,The Kid Stays in the Picture,2002,7.3,6.0,6.5,7.5,6.7,a big dick move by one of the biggest pythons in the pants of hollywood,The Kid Stays in the Picture,2002,7.3,,,
7/2020,All,5821516,Documentary Now!,2015,8.0,9.0,9.0,10.0,9.3,pollack beach,"Mr. Runner Up: My Life as an Oscar Bridesmaid, Part 1",2016,7.9,,,
7/2020,Steven,9484998,Palm Springs,2020,7.6,9.0,8.5,8.0,8.5,we all have an Irvine,Palm Springs,2020,7.4,,,
7/2020,Jon,120201,Starship Troopers,1997,7.2,8.5,9.0,9.5,9.0,the enemy cannot push a button if you disable his hand,Starship Troopers,1997,7.3,,,
7/2020,Farzad,1764183,Arbitrage,2012,6.6,7.5,7.0,7.0,7.2,Looks like we made a good deal,Arbitrage,2012,6.6,,,
7/2020,Steven,109424,Chunking Express,1994,8.1,7.5,8.5,6.5,7.5,,Chungking Express,1994,8.0,,,
8/2020,Jon,48424,The Night of the Hunter,1955,8.0,8.0,9.0,5.5,7.5,Chiiiiiiildren,The Night of the Hunter,1955,8.0,,,
8/2020,Farzad,32455,Fantasia,1940,7.8,7.5,9.5,10.0,9.0,,Fantasia,1940,7.7,,,
8/2020,Steven,70034,Enter the Dragon,1973,7.7,7.5,8.0,6.0,7.2,"""Opium?... Uh-oh.""",Enter the Dragon,1973,7.6,,,
8/2020,Jon,51808,The Hidden Fortress,1958,8.1,8.0,6.5,5.5,6.7,those fucking peasants,The Hidden Fortress,1958,8.1,,,
9/2020,Farzad,7286966,Money Plane,2020,3.0,8.0,6.0,8.0,7.3,"""a bad movie thrown together quickly""--craig
""Say hello to my little friend!"" - Kelsey Grammar",Money Plane,2020,3.2,,,
9/2020,Steven,11394182,Feels Good Man,2020,7.5,8.0,8.0,7.0,7.7,"""outed themselves as sex-havers... or women""",Feels Good Man,2020,7.5,,,
9/2020,Jon,3799694,The Nice Guys,2016,7.4,7.0,8.0,8.5,7.8,"""I'm saying, I think they died quickly. So I don't think they got hurt.""",The Nice Guys,2016,7.3,,,
10/2020,Farzad,72890,Dog Day Afternoon,1975,8.0,10.0,10.0,10.0,10.0,"""you can't stand me being fat, i can stand you being a bank robber. that's what love is!""",Dog Day Afternoon,1975,8.0,,,
10/2020,Steven,71360,The Conversation,1974,7.8,9.5,6.5,10.0,8.7,,The Conversation,1974,7.8,,,
10/2020,Jon,76786,Suspiria,1977,7.4,6.0,8.0,2.0,5.3,"""there's positive aspects about this movie that make it above a zero"" - farzad",Suspiria,1977,7.3,,,
10/2020,All,13143964,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,7.2,6.0,6.0,6.0,6.0,,Borat Subsequent Moviefilm,2020,6.6,,,
10/2020,Farzad,2321549,The Babadook,2014,6.8,8.0,8.0,8.0,8.0,ba-ba-dook-dook-dook,The Babadook,2014,6.8,,,
11/2020,Steven,117802,Swingers,1996,7.2,7.5,7.0,7.0,7.2,"""Look at all the beautiful baby girls!"" -an insight into who Vince Vaughn would become.",Swingers,1996,7.2,,,
11/2020,Jon,115678,Big Night,1996,7.3,9.0,10.0,9.5,9.5,"""bite your teeth into the ass of life"" --pascal",Big Night,1996,7.3,,,
11/2020,Farzad,5697572,Cats,2019,2.8,2.0,1.5,2.0,1.8,Jellicle.,Cats,2019,2.8,,,
11/2020,Steven,8522006,Happiest Season,2020,7.0,3.0,3.5,2.0,2.8,,Happiest Season,2020,6.6,,,
12/2020,Jon,82783,My Dinner with Andre,1981,7.8,5.0,7.0,7.5,6.5,"""technically the situation was an interesting one""",My Dinner with Andre,1981,7.7,,,
12/2020,All,1640862,Critical Film Studies,2011,9.0,10.0,9.5,9.5,9.7,,Critical Film Studies,2011,8.9,,,
12/2020,Farzad,110074,The Hudsucker Proxy,1994,7.2,6.0,7.0,8.0,7.0,Hudsucker merged with the infinite,The Hudsucker Proxy,1994,7.2,,,
12/2020,Steven,10551100,Mangrove,2020,8.1,9.0,9.0,9.0,9.0,"""P.C. Pulley...""",Mangrove,2020,8.0,,,
12/2020,All,7126948,Wonder Woman 1984,2020,5.6,3.0,3.0,0.0,2.0,,Wonder Woman 1984,2020,5.4,,,
1/2021,Jon,1182345,Moon,2009,7.9,8.0,8.5,7.0,7.8,Sam Rockwell vs Sam Rockwell,Moon,2009,7.8,,,
1/2021,Farzad,58946,The Battle of Algiers,1966,8.1,7.5,9.0,8.0,8.2,,The Battle of Algiers,1966,8.1,,,
2/2021,Steven,120780,Out of Sight,1998,7.0,7.0,6.5,7.0,6.8,"""how to sing like michael bolton""",Out of Sight,1998,7.0,,,
2/2021,Jon,11358166,Some Kind of Heaven,2020,7.3,9.0,9.0,9.0,9.0,"""do you think any of these old fucks isn't using medicare?""",Some Kind of Heaven,2020,7.2,,,
2/2021,Farzad,38777,A Night in Casablanca,1946,7.0,6.0,6.5,6.5,6.3,"""the master race""",A Night in Casablanca,1946,6.9,,,
3/2021,Steven,113277,Heat,1995,8.2,8.0,6.5,8.0,7.5,get killed for walking your doggy!,Heat,1995,8.3,,,
3/2021,Jon,1527186,Melancholia,2011,7.2,8.0,10.0,10.0,9.3,,Melancholia,2011,7.1,,,
4/2021,Farzad,99422,Dick Tracy,1990,6.1,4.0,6.0,9.0,6.3,"""tracy, for a tough guy you do a lot of pansy things""",Dick Tracy,1990,6.2,,,
4/2021,Steven,47034,Godzilla,1954,7.6,8.5,8.5,8.5,8.5,"""Godzilla was baptized in the fire of the H-bomb and survived. What could kill it now?""",Godzilla,1954,7.5,,,
4/2021,Jon,2013293,The Wind Rises,2013,7.8,8.0,9.0,8.0,8.3,"""they're not for war, they're not for making money""",The Wind Rises,2013,7.7,,,
5/2021,Farzad,118884,Contact,1997,7.4,7.0,7.0,8.0,7.3,,Contact,1997,7.5,,,
5/2021,Steven,10288566,Another Round,2020,7.8,9.0,7.5,8.0,8.2,,Another Round,2020,7.7,,,
5/2021,Jon,89881,Ran,1985,8.2,9.0,8.5,8.5,8.7,"We are your sons, yet you count on our fidelity. In my eyes, that makes you a fool. A senile old fool!",Ran,1985,8.2,,,
